Python  : 3.12.11
PyTorch : 2.8.0+cu128

Mon Mar 23 09:06:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          Off |   00000000:00:05.0 Off |                    0 |
| N/A   33C    P0             57W /  400W |       6MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+

  micro batch : 64 × 2048 = 131,072 tokens
  total batch : 524,288 tokens  (grad accum = 4)
  total steps : 1500
  warmup      : 100 steps  →  hold  →  linear warmdown
  optimizer   : Muon lr=0.02 wd=0.01  |  AdamW lr=0.006 wd=0.1

GPTConfig(vocab_size=50304, num_layers=12, num_heads=12, model_dim=768, max_seq_len=2048, logit_softcap=30.0)
params      : 123,568,128  (123.6M total, 84.9M non-embedding)
model vram  : 0.54 GB
compiling   : torch.compile(dynamic=True) ...
train data  : 5,000,000,000 tokens across 50 shards

  [step    0/1500]  loss=11.0148  |      9,201 tok/s  |  step_ms=56981  |  MFU=0.0%  |  mem=76.3GB  |  gnorm=6.971
  [step    1/1500]  loss=10.9724  |    205,617 tok/s  |  step_ms=2550  |  MFU=38.6%  |  mem=76.3GB  |  gnorm=7.002
  [step    2/1500]  loss=10.8895  |    205,857 tok/s  |  step_ms=2547  |  MFU=38.6%  |  mem=76.3GB  |  gnorm=7.017
  [step    3/1500]  loss=10.7646  |    205,149 tok/s  |  step_ms=2556  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=6.893
  [step    4/1500]  loss=10.5947  |    205,000 tok/s  |  step_ms=2557  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=6.949
  [step    5/1500]  loss=10.4010  |    205,640 tok/s  |  step_ms=2550  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=6.912
  [step    6/1500]  loss=10.1533  |    204,122 tok/s  |  step_ms=2568  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=6.967
  [step    7/1500]  loss=9.8756  |    205,062 tok/s  |  step_ms=2557  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=7.081
  [step    8/1500]  loss=9.5615  |    204,907 tok/s  |  step_ms=2559  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=7.120
  [step    9/1500]  loss=9.2233  |    204,624 tok/s  |  step_ms=2562  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=7.048
  [step   10/1500]  loss=8.8733  |    204,375 tok/s  |  step_ms=2565  |  MFU=38.5%  |  mem=76.3GB  |  gnorm=6.735
  [step   11/1500]  loss=8.4664  |    203,509 tok/s  |  step_ms=2576  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=5.999
  [step   12/1500]  loss=8.1217  |    204,597 tok/s  |  step_ms=2563  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=4.968
  [step   13/1500]  loss=7.7930  |    204,024 tok/s  |  step_ms=2570  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=3.990
  [step   14/1500]  loss=7.5592  |    203,586 tok/s  |  step_ms=2575  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=3.287
  [step   15/1500]  loss=7.3586  |    204,112 tok/s  |  step_ms=2569  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=2.983
  [step   16/1500]  loss=7.2293  |    203,801 tok/s  |  step_ms=2573  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=3.344
  [step   17/1500]  loss=7.1619  |    203,635 tok/s  |  step_ms=2575  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=3.859
  [step   18/1500]  loss=7.1207  |    203,333 tok/s  |  step_ms=2578  |  MFU=38.4%  |  mem=76.3GB  |  gnorm=4.358
  [step   19/1500]  loss=7.1085  |    203,254 tok/s  |  step_ms=2579  |  MFU=38.3%  |  mem=76.3GB  |  gnorm=4.533
  [step   20/1500]  loss=7.0617  |    203,458 tok/s  |  step_ms=2577  |  MFU=38.3%  |  mem=76.3GB  |  gnorm=4.708
  [step   21/1500]  loss=7.0110  |    203,280 tok/s  |  step_ms=2579  |  MFU=38.3%  |  mem=76.3GB  |  gnorm=4.729
  [step   22/1500]  loss=6.8744  |    203,747 tok/s  |  step_ms=2573  |  MFU=38.3%  |  mem=76.3GB  |  gnorm=3.816
  [step   23/1500]  loss=6.8017  |    203,647 tok/s  |  step_ms=2574  |  MFU=38.3%  |  mem=76.3GB  |  gnorm=2.410
  [step   24/1500]  loss=6.7469  |    202,696 tok/s  |  step_ms=2587  |  MFU=38.3%  |  mem=76.3GB  |  gnorm=2.187
  [step   25/1500]  loss=6.7028  |    203,102 tok/s  |  step_ms=2581  |  MFU=38.2%  |  mem=76.3GB  |  gnorm=3.608
  [step   26/1500]  loss=6.6372  |    202,595 tok/s  |  step_ms=2588  |  MFU=38.2%  |  mem=76.3GB  |  gnorm=3.161
  [step   27/1500]  loss=6.5758  |    202,388 tok/s  |  step_ms=2591  |  MFU=38.2%  |  mem=76.3GB  |  gnorm=1.833
  [step   28/1500]  loss=6.5873  |    203,383 tok/s  |  step_ms=2578  |  MFU=38.2%  |  mem=76.3GB  |  gnorm=1.085
  [step   29/1500]  loss=6.4794  |    202,622 tok/s  |  step_ms=2588  |  MFU=38.2%  |  mem=76.3GB  |  gnorm=0.853
  [step   30/1500]  loss=6.4821  |    202,663 tok/s  |  step_ms=2587  |  MFU=38.1%  |  mem=76.3GB  |  gnorm=0.788
  [step   31/1500]  loss=6.4688  |    202,200 tok/s  |  step_ms=2593  |  MFU=38.1%  |  mem=76.3GB  |  gnorm=0.715
  [step   32/1500]  loss=6.4182  |    202,405 tok/s  |  step_ms=2590  |  MFU=38.1%  |  mem=76.3GB  |  gnorm=0.626
  [step   33/1500]  loss=6.3635  |    202,160 tok/s  |  step_ms=2593  |  MFU=38.1%  |  mem=76.3GB  |  gnorm=0.555
  [step   34/1500]  loss=6.3668  |    201,553 tok/s  |  step_ms=2601  |  MFU=38.1%  |  mem=76.3GB  |  gnorm=0.583
  [step   35/1500]  loss=6.4032  |    203,276 tok/s  |  step_ms=2579  |  MFU=38.1%  |  mem=76.3GB  |  gnorm=0.489
  [step   36/1500]  loss=6.2826  |    201,647 tok/s  |  step_ms=2600  |  MFU=38.0%  |  mem=76.3GB  |  gnorm=0.415
  [step   37/1500]  loss=6.2327  |    202,365 tok/s  |  step_ms=2591  |  MFU=38.0%  |  mem=76.3GB  |  gnorm=0.539
  [step   38/1500]  loss=6.2741  |    201,989 tok/s  |  step_ms=2596  |  MFU=38.0%  |  mem=76.3GB  |  gnorm=0.720
  [step   39/1500]  loss=6.2395  |    201,965 tok/s  |  step_ms=2596  |  MFU=38.0%  |  mem=76.3GB  |  gnorm=0.774
  [step   40/1500]  loss=6.2232  |    201,826 tok/s  |  step_ms=2598  |  MFU=38.0%  |  mem=76.3GB  |  gnorm=0.805
  [step   41/1500]  loss=6.2152  |    202,329 tok/s  |  step_ms=2591  |  MFU=38.0%  |  mem=76.3GB  |  gnorm=0.802
  [step   42/1500]  loss=6.1395  |    201,627 tok/s  |  step_ms=2600  |  MFU=38.0%  |  mem=76.3GB  |  gnorm=0.842
  [step   43/1500]  loss=6.1787  |    201,967 tok/s  |  step_ms=2596  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.865
  [step   44/1500]  loss=6.1481  |    202,140 tok/s  |  step_ms=2594  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.816
  [step   45/1500]  loss=6.1302  |    201,578 tok/s  |  step_ms=2601  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.744
  [step   46/1500]  loss=6.0870  |    202,163 tok/s  |  step_ms=2593  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.764
  [step   47/1500]  loss=6.0331  |    201,859 tok/s  |  step_ms=2597  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.895
  [step   48/1500]  loss=6.0894  |    201,633 tok/s  |  step_ms=2600  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=1.132
  [step   49/1500]  loss=6.0447  |    201,657 tok/s  |  step_ms=2600  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=1.042
  [step   50/1500]  loss=5.9889  |    201,807 tok/s  |  step_ms=2598  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.910
  [step   51/1500]  loss=6.0255  |    201,845 tok/s  |  step_ms=2597  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.941
  [step   52/1500]  loss=5.9931  |    200,980 tok/s  |  step_ms=2609  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.932
  [step   53/1500]  loss=5.9781  |    201,133 tok/s  |  step_ms=2607  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.878
  [step   54/1500]  loss=5.9571  |    201,221 tok/s  |  step_ms=2606  |  MFU=37.9%  |  mem=76.3GB  |  gnorm=0.820
